"Wordline Credit Card payment method is not enabled","Wordline Credit Card payment method is not enabled"
"Please mind that we do not store some of the subscription data (i.e., Trial Start Date, Trial End Date, etc). It’s being dynamically retrieved from the Worldline gateway where you made your initial payment. If you notice some sort of data discrepancy, simply try to refresh this page.","Houd er rekening mee dat we sommige abonnementsgegevens niet opslaan (d.w.z. de startdatum van de proef, de einddatum van de proef, enz.). Het wordt dynamisch opgehaald van de Worldline-gateway waar u uw eerste betaling heeft gedaan. Als u een discrepantie in de gegevens opmerkt, kunt u proberen deze pagina te vernieuwen."
"Number of Attempts to Withdraw Failed Payments","Aantal pogingen om mislukte betalingen in te trekken"
"Frequency of Attempts","Frequentie van pogingen"
"This setting will define the frequency with which the money is attempted to be withdrawn from the account in case of a failed payment","Deze parameter definieert de frequentie waarmee betalingspogingen worden gedaan in het geval van een mislukte betaling"
"Once every 30 minutes","Een keer per 30 minuten"
"Once every 2 hours","Een keer per 2 uur"
"Once every 8 hours","Een keer per 8 uur"
"Once every day","Een keer per dag"
"Subscription. Payment Failed","Abonnement. Betaling mislukt"
"Dear %customer_name,","Geachte %customer_name,"
"There has been a problem with the payment of your subscription %subscription_id. Don’t worry, we will try it again later!","Er is een probleem geweest met de betaling van uw abonnement %subscription_id. Geen zorgen, we proberen het later opnieuw!"
"Maybe your card has expired, or you received a new card from your bank. Please make sure it is working correctly to be sure your subscription is not stopped!","Misschien is uw kaart verlopen, of heeft u een nieuwe kaart ontvangen van uw bank. Controleer of deze correct werkt om er zeker van te zijn dat uw abonnement niet wordt stopgezet!"
"Don’t hesitate to contact us should you have any questions!","Aarzel niet om contact met ons op te nemen als u vragen heeft!"
"Kindest Regards","Met vriendelijke groeten"
"Team","team"
"Subscription","Abonnement"
