"Wordline Credit Card payment method is not enabled","Wordline Credit Card payment method is not enabled"
"Please mind that we do not store some of the subscription data (i.e., Trial Start Date, Trial End Date, etc). It’s being dynamically retrieved from the Worldline gateway where you made your initial payment. If you notice some sort of data discrepancy, simply try to refresh this page.","Tenga en cuenta que no almacenamos algunos de los datos de la suscripción (es decir, la fecha de inicio de la prueba, la fecha de finalización de la prueba, etc.). Se está recuperando dinámicamente de la puerta de enlace de Worldline donde realizó su pago inicial. Si nota algún tipo de discrepancia en los datos, simplemente intente actualizar esta página."
"Number of Attempts to Withdraw Failed Payments","Número de intentos de retiro de pagos fallidos"
"Frequency of Attempts","Frecuencia de intentos"
"This setting will define the frequency with which the money is attempted to be withdrawn from the account in case of a failed payment","Este parámetro definirá la frecuencia con la que se realizarán los intentos de pago en caso de un pago fallido"
"Once every 30 minutes","Una vez cada 30 minutos"
"Once every 2 hours","Una vez cada 2 horas"
"Once every 8 hours","Una vez cada 8 horas"
"Once every day","Una vez al día"
"Subscription. Payment Failed","Suscripción. Pago fallido"
"Dear %customer_name,","Estimado %customer_name,"
"There has been a problem with the payment of your subscription %subscription_id. Don’t worry, we will try it again later!","Ha habido un problema con el pago de su suscripción %subscription_id. No se preocupe, ¡volveremos a intentarlo más tarde!"
"Maybe your card has expired, or you received a new card from your bank. Please make sure it is working correctly to be sure your subscription is not stopped!","Puede que su tarjeta haya caducado, o que haya recibido una nueva tarjeta de su banco. Por favor, asegúrese de que funciona correctamente para que su suscripción no se detenga!"
"Don’t hesitate to contact us should you have any questions!","No dude en ponerse en contacto con nosotros si tiene alguna pregunta!"
"Kindest Regards","Saludos cordiales"
"Team","Equipo de la"
"Subscription","Suscripción"
"Dear","Querido(a)"
"Thanks for your order!","¡Gracias por tu orden!"
"Your subscription details are listed below.","Los detalles de su suscripción se enumeran a continuación."
"Your subscription has been canceled.","Su suscripción ha sido cancelada."
"Subscription Purchased","Suscripción comprada"
"Subscription Cancelled","Suscripción cancelada"
