"Wordline Credit Card payment method is not enabled","Wordline Credit Card payment method is not enabled"
"Please mind that we do not store some of the subscription data (i.e., Trial Start Date, Trial End Date, etc). It’s being dynamically retrieved from the Worldline gateway where you made your initial payment. If you notice some sort of data discrepancy, simply try to refresh this page.","Tieni presente che non memorizziamo alcuni dei dati dell'abbonamento (ad es. Data di inizio del periodo di prova, Data di fine del periodo di prova, ecc.). Viene recuperato dinamicamente dal gateway Worldline in cui hai effettuato il pagamento iniziale. Se noti una sorta di discrepanza nei dati, prova semplicemente ad aggiornare questa pagina."
"Number of Attempts to Withdraw Failed Payments","Numero di tentativi di prelievo dei pagamenti non riusciti"
"Frequency of Attempts","Frequenza dei tentative"
"This setting will define the frequency with which the money is attempted to be withdrawn from the account in case of a failed payment","Questo parametro definirà la frequenza con cui verranno effettuati i tentativi di pagamento in caso di mancato pagamento"
"Once every 30 minutes","Una volta ogni 30 minuti"
"Once every 2 hours","Una volta ogni 2 ore"
"Once every 8 hours","Una volta ogni 8 ore"
"Once every day","Una volta al giorno"
"Subscription. Payment Failed","Abbonamento. Pagamento fallito"
"Dear %customer_name,","Gentile %customer_name,"
"There has been a problem with the payment of your subscription %subscription_id. Don’t worry, we will try it again later!","Si è verificato un problema con il pagamento del suo abbonamento %subscription_id. Non si preoccupi, riproveremo più tardi!"
"Maybe your card has expired, or you received a new card from your bank. Please make sure it is working correctly to be sure your subscription is not stopped!","Forse la sua carta è scaduta o ha ricevuto una nuova carta dalla sua banca. Assicuratevi che funzioni correttamente per essere sicuri che il vostro abbonamento non venga interrotto!"
"Don’t hesitate to contact us should you have any questions!","Non esiti a contattarci per qualsiasi domanda!"
"Kindest Regards","Cordiali saluti"
"Team","Il team di"
"Subscription","Abbonamento"
"Dear","Cara"
"Thanks for your order!","Grazie per il tuo ordine!"
"Your subscription details are listed below.","I dettagli dell'abbonamento sono elencati di seguito."
"Your subscription has been canceled.","Il tuo abbonamento è stato annullato."
"Subscription Purchased","Abbonamento acquistato"
"Subscription Cancelled","Abbonamento annullato"
