"Wordline Credit Card payment method is not enabled","Wordline Credit Card payment method is not enabled"
"Please mind that we do not store some of the subscription data (i.e., Trial Start Date, Trial End Date, etc). It’s being dynamically retrieved from the Worldline gateway where you made your initial payment. If you notice some sort of data discrepancy, simply try to refresh this page.","Veuillez noter que nous ne stockons pas toutes les informations des abonnements (par exemple les débuts et fin de période d’essai). Celles-ci sont récupérées dynamiquement auprès de Worldline, avec qui vous avez effectué votre premier paiement. Si vous remarquez que certaines informations ne sont pas cohérentes, veuillez simplement rafraichir la page."
"Number of Attempts to Withdraw Failed Payments","Nombre de tentatives de retrait de paiements échoués"
"Frequency of Attempts","Fréquence des tentatives"
"This setting will define the frequency with which the money is attempted to be withdrawn from the account in case of a failed payment","Ce paramètre va définir la fréquence à laquelle des tentatives de paiement seront effectuées en cas de paiement en échec"
"Once every 30 minutes","Une fois toutes les 30 minutes"
"Once every 2 hours","Une fois toutes les 2 heures"
"Once every 8 hours","Une fois toutes les 8 heures"
"Once every day","Une fois par jour"
"Subscription. Payment Failed","Abonnement. Échec du paiement"
"Dear %customer_name,","Cher %customer_name,"
"There has been a problem with the payment of your subscription %subscription_id. Don’t worry, we will try it again later!","Il y a eu un problème avec le paiement de votre abonnement %subscription_id. Ne vous inquiétez pas, nous réessayerons plus tard!"
"Maybe your card has expired, or you received a new card from your bank. Please make sure it is working correctly to be sure your subscription is not stopped!","Votre carte a peut-être expiré, ou vous avez reçu une nouvelle carte de votre banque. Vérifiez qu'elle fonctionne correctement pour être sûr que votre abonnement ne soit pas interrompu!"
"Don’t hesitate to contact us should you have any questions!","N'hésitez pas à nous contacter si vous avez la moindre question!"
"Kindest Regards","Bien à vous"
"Team","L'équipe de"
"Subscription","Abonnement"
"Dear","Che(è)r(e)"
"Thanks for your order!","Merci pour votre commande!"
"Your subscription details are listed below.","Vous trouverez ci-dessous les détails de votre abonnement."
"Your subscription has been canceled.","Votre abonnement a été annulé."
"Subscription Purchased","Abonnement acheté"
"Subscription Cancelled","Abonnement annulé"
"Renew subscription","Renouveler l'abonnement"
"Subscription has been successfully renewed","L'abonnement a été renouvelé avec succès"
"<a href=""%1"">Return to the cart page.</a>","<a href=""%1"">Retour à la page du panier.</a>"
"Please use the tag {{amount-currency}} in order to display within your explanatory text the limit allowed for recurring payments.","Veuillez utiliser la balise {{amount-currency}} afin d’afficher dans votre texte explicatif la limite que vous autorisez pour les paiements récurrents."
"Email Template","Modèle d'e-mail"
"Notify Customers on WorldLine Pay Limits","Informer les clients des limites de paiement de WorldLine"
"Notification Message","Message de notification"
"Limit Amount in Base Currency","Montant limite dans la devise de base"
"The payment has been canceled, please, try again","Le paiement a été annulé, veuillez réessayer"
